9606.ENSP00000346725	9606.ENSP00000223073
9606.ENSP00000377446	9606.ENSP00000205402
9606.ENSP00000216037	9606.ENSP00000346050
9606.ENSP00000284320	9606.ENSP00000354204
9606.ENSP00000481570	9606.ENSP00000351273
9606.ENSP00000373312	9606.ENSP00000300413
9606.ENSP00000331019	9606.ENSP00000472985
9606.ENSP00000364320	9606.ENSP00000387365
9606.ENSP00000423067	9606.ENSP00000454836
9606.ENSP00000228280	9606.ENSP00000387784
9606.ENSP00000367766	9606.ENSP00000287600
9606.ENSP00000244051	9606.ENSP00000396935
9606.ENSP00000419361	9606.ENSP00000306124
9606.ENSP00000254719	9606.ENSP00000350708
9606.ENSP00000312066	9606.ENSP00000267884
9606.ENSP00000366396	9606.ENSP00000362105
9606.ENSP00000371101	9606.ENSP00000314348
9606.ENSP00000306983	9606.ENSP00000361363
9606.ENSP00000346027	9606.ENSP00000346037
9606.ENSP00000355011	9606.ENSP00000361626
9606.ENSP00000385021	9606.ENSP00000376168
9606.ENSP00000420714	9606.ENSP00000053468
9606.ENSP00000300688	9606.ENSP00000417142
9606.ENSP00000357879	9606.ENSP00000396937
9606.ENSP00000308179	9606.ENSP00000385958
9606.ENSP00000444136	9606.ENSP00000327179
9606.ENSP00000362334	9606.ENSP00000210313
9606.ENSP00000428895	9606.ENSP00000237889
9606.ENSP00000229195	9606.ENSP00000302768
9606.ENSP00000293441	9606.ENSP00000439937
9606.ENSP00000225298	9606.ENSP00000402338
9606.ENSP00000435777	9606.ENSP00000261708
9606.ENSP00000383931	9606.ENSP00000383382
9606.ENSP00000354876	9606.ENSP00000364649
9606.ENSP00000369820	9606.ENSP00000164305
9606.ENSP00000443631	9606.ENSP00000466363
9606.ENSP00000362744	9606.ENSP00000230050
9606.ENSP00000354560	9606.ENSP00000354791
9606.ENSP00000254286	9606.ENSP00000334002
9606.ENSP00000349205	9606.ENSP00000355231
9606.ENSP00000446121	9606.ENSP00000334008
9606.ENSP00000175756	9606.ENSP00000263708
9606.ENSP00000346050	9606.ENSP00000306548
9606.ENSP00000376827	9606.ENSP00000243578
9606.ENSP00000258424	9606.ENSP00000354223
9606.ENSP00000245539	9606.ENSP00000417602
9606.ENSP00000430684	9606.ENSP00000243673
9606.ENSP00000301765	9606.ENSP00000421380
9606.ENSP00000364119	9606.ENSP00000368927
9606.ENSP00000317159	9606.ENSP00000467262
9606.ENSP00000372170	9606.ENSP00000257566
9606.ENSP00000260363	9606.ENSP00000360793
9606.ENSP00000255390	9606.ENSP00000299335
9606.ENSP00000215794	9606.ENSP00000270139
9606.ENSP00000335153	9606.ENSP00000231487
9606.ENSP00000053867	9606.ENSP00000340820
9606.ENSP00000443988	9606.ENSP00000350333
9606.ENSP00000247191	9606.ENSP00000315644
9606.ENSP00000351185	9606.ENSP00000311360
9606.ENSP00000162749	9606.ENSP00000347979
9606.ENSP00000312995	9606.ENSP00000343535
9606.ENSP00000349790	9606.ENSP00000401749
9606.ENSP00000361076	9606.ENSP00000431800
9606.ENSP00000285814	9606.ENSP00000442053
9606.ENSP00000387365	9606.ENSP00000327179
9606.ENSP00000265967	9606.ENSP00000447537
9606.ENSP00000326519	9606.ENSP00000345837
9606.ENSP00000332340	9606.ENSP00000238146
9606.ENSP00000309175	9606.ENSP00000429374
9606.ENSP00000261712	9606.ENSP00000226574
9606.ENSP00000317431	9606.ENSP00000393313
9606.ENSP00000262613	9606.ENSP00000344456
9606.ENSP00000479494	9606.ENSP00000316032
9606.ENSP00000317636	9606.ENSP00000267430
9606.ENSP00000290208	9606.ENSP00000354525
9606.ENSP00000384211	9606.ENSP00000297261
9606.ENSP00000450731	9606.ENSP00000236192
